what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369774825129
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369774826619
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1369774831125
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1369774838134
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1369774838823
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1369774842079
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1369774844154
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369774876446
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369774893959
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369774896134
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369775126375
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369775127795
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369775146124
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369775147132
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369775156549
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369775163083
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369775163087
closed,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1369775164398
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369775165049
activated,view,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms.views.LogCatView",1369775174828
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1369775181561
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369775182644
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369775182680
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1369775182703
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369775187612
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1369775207044
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369775211855
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369775212057
opened,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1369775212238
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1369775212347
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1369775223957
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1369775226915
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1369775235407
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369775245299
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369775263450
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1369775288002
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369775290523
