what,kind,bundleId,bundleVersion,description,time
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1369432106178
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369432116886
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369432161421
activated,view,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms.views.LogCatView",1369432167427
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369432197411
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1369432240121
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1369432241448
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1369432243111
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369432276129
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369432385685
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369432415253
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369432454816
activated,view,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms.views.LogCatView",1369432456676
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369432468160
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369432479546
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369432482981
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1369432485460
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1369432493417
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1369432495495
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1369432497411
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369432786343
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369432820687
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1369432834781
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369432845330
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1369432847117
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1369432849285
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1369432851638
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369432883686
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369432988615
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369433056414
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369433227126
