what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1368449445889
started,bundle,org.eclipse.jst.j2ee,1.1.406.v201110130300,"org.eclipse.jst.j2ee",1368449445902
started,bundle,org.eclipse.jem.workbench,2.0.301.v201104271300,"org.eclipse.jem.workbench",1368449445917
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1368449445960
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1368449447493
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1368449447599
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368449447625
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1368449454618
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1368449454701
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368449455379
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368449544198
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368449554449
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368450495480
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368450501232
error,log,,,"Failed to load properties file for project 'Support4Demos'",1368450519831
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1368450519913
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368450519965
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1368450522920
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1368450541959
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1368450542049
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1368450542070
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1368450542101
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368450549970
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368450550305
error,log,,,"palette: Failed to find style 'switchStyle' in current theme",1368450556117
error,log,,,"palette: Failed to find style 'switchStyle' in current theme",1368450556159
error,log,,,"palette: Failed to find style 'switchStyle' in current theme",1368450556160
error,log,,,"palette: Failed to find style 'switchStyle' in current theme",1368450556161
error,log,,,"palette: Failed to find style 'switchStyle' in current theme",1368450556162
error,log,,,"palette: Failed to find style 'switchStyle' in current theme",1368450556164
error,log,,,"",1368450556170
opened,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1368450556372
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1368450556471
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1368450599685
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368450605987
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368450606096
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368450606354
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368450611059
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1368450613429
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1368450620328
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1368450623758
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368450636600
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368450668194
opened,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1368450712885
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1368450712957
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1368450712982
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1368450714832
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1368450725469
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1368450740750
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1368450744441
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1368450746696
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368450769730
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368450775689
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1368450777756
