what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1368994948596
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1368994948622
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368994966617
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368995069260
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368995073722
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368995074452
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368995079166
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368995154824
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1368995159507
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1368995177725
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1368995181520
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1368995193861
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1368995196504
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1368995199237
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368995202441
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368995202613
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1368995212625
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368995214101
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368995242200
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1368995248127
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1368995250082
