what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1369505664699
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369505681524
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369505717183
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369505718774
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369505832476
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1369505836679
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1369505838280
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1369505852814
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369505902016
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369506022194
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1369506028697
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369506034396
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369506034524
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369506037603
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369506037605
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1369506045040
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1369506047545
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1369506063134
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1369506072265
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1369506073727
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1369506141780
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1369506162947
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1369506168040
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369506240137
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369506278715
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369506283518
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369506325314
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369506333703
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369506358083
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1369506359989
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369506374448
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369506379357
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1369506394398
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1369506395392
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1369506396805
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1369506442578
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1369506448970
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1369506472506
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1369506497270
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1369506510670
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1369506525755
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1369506532392
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1369506540061
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1369506554752
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369506594299
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369506613200
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369506627788
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369506631125
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369506648681
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369506654351
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1369506656887
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1369506658637
