what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1368900833856
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1368900833856
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1368900833860
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1368900833861
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1368900833861
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1368900833862
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1368900833864
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1368900833864
started,bundle,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.adt",1368900833864
started,bundle,com.android.ide.eclipse.base,21.1.0.v201302060044-569685,"com.android.ide.eclipse.base",1368900833865
started,bundle,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms",1368900833865
started,bundle,com.android.ide.eclipse.traceview,21.1.0.v201302060044-569685,"com.android.ide.eclipse.traceview",1368900833865
os,sysinfo,,,"linux",1368900833868
arch,sysinfo,,,"x86_64",1368900833868
ws,sysinfo,,,"gtk",1368900833868
locale,sysinfo,,,"en_US",1368900833868
processors,sysinfo,,,"4",1368900833869
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1368900833869
java.runtime.version,sysinfo,,,"1.7.0_15-b20",1368900833869
java.specification.name,sysinfo,,,"Java Platform API Specification",1368900833869
java.specification.vendor,sysinfo,,,"Oracle Corporation",1368900833869
java.specification.version,sysinfo,,,"1.7",1368900833869
java.vendor,sysinfo,,,"Oracle Corporation",1368900833869
java.version,sysinfo,,,"1.7.0_15",1368900833869
java.vm.info,sysinfo,,,"mixed mode",1368900833869
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1368900833869
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1368900833869
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1368900833869
java.vm.specification.version,sysinfo,,,"1.7",1368900833869
java.vm.vendor,sysinfo,,,"Oracle Corporation",1368900833869
java.vm.version,sysinfo,,,"23.7-b01",1368900833869
started,bundle,org.eclipse.wst.sse.core,1.1.506.v201110201853,"org.eclipse.wst.sse.core",1368900835291
started,bundle,org.eclipse.wst.xml.core,1.1.505.v201109271810,"org.eclipse.wst.xml.core",1368900835329
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1368900835396
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368900863778
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368900912703
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1368900914229
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368900933673
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368901065718
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.203.v201109140236,"org.eclipse.wst.ws.service.policy.ui",1368901071102
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1368901071104
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1368901071112
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1368901071113
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1368901071181
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1368901073276
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1368901073291
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1368901074488
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368901078560
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368901095160
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368901099001
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368901309663
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368901311594
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368901710994
activated,view,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms.views.LogCatView",1368901718300
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368901725293
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368901779145
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368901781109
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368901782343
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368901798145
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368901822830
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1368901826713
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1368901828638
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1368901828672
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1368901828690
started,bundle,org.eclipse.wst.sse.ui,1.2.5.v201108191505,"org.eclipse.wst.sse.ui",1368901828728
